Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Learning Rate,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken
Hyperparameter-Result31,b7,16,N/A,sgd,0.1,5000,7500,520x520,0.34188544750213623,0.40645289421081543,0.8516666889190674,0.8100000023841858,81.00
Hyperparameter-Result37,b7,8,0.1,sgd,0.1,5000,7500,520x520,0.6227706670761108,0.6298843622207642,0.6848333477973938,0.6919999718666077,84.47
Hyperparameter-Result29,b7,16,0.1,sgd,0.1,5000,7500,520x520,0.6036818623542786,0.6068574786186218,0.7139999866485596,0.7006666660308838,80.30
Hyperparameter-Result28,b7,16,0.1,adam,0.1,5000,7500,520x520,0.6759307980537415,0.6854148507118225,0.6001666784286499,0.5820000171661377,32.50
Hyperparameter-Result71,b7,32,N/A,sgd,0.01,5000,7500,520x520,0.5572070479393005,0.5649999976158142,0.7146666646003723,0.7133333086967468,82.48
Hyperparameter-Result69,b7,32,0.1,sgd,0.01,5000,7500,520x520,0.6233667135238647,0.6313366293907166,0.7049999833106995,0.690666675567627,81.74
Hyperparameter-Result66,b7,32,0.01,adam,0.01,5000,7500,520x520,0.6731336712837219,0.6727429628372192,0.5998333096504211,0.6006666421890259,38.51
Hyperparameter-Result15,b7,8,N/A,sgd,0.001,5000,7500,520x520,0.5929252505302429,0.5916539430618286,0.690833330154419,0.6880000233650208,85.13
Hyperparameter-Result45,b7,32,0.1,sgd,0.1,5000,7500,520x520,0.5952720046043396,0.608105480670929,0.7151666879653931,0.7133333086967468,81.07
Hyperparameter-Result1,b7,16,0.001,sgd,0.001,5000,7500,520x520,0.8529952764511108,0.8476372957229614,0.6740000247955322,0.690666675567627,81.33
Hyperparameter-Result19,b7,32,0.01,sgd,0.001,5000,7500,520x520,2.9054605960845947,2.9065468311309814,0.640999972820282,0.6206666827201843,82.43
Hyperparameter-Result10,b7,8,0.01,adam,0.001,5000,7500,520x520,0.5598631501197815,0.5585601925849915,0.7393333315849304,0.7400000095367432,84.22
Hyperparameter-Result62,b7,8,N/A,adam,0.01,5000,7500,520x520,0.44771724939346313,0.4479519724845886,0.7763333320617676,0.7773333191871643,84.01
Hyperparameter-Result0,b7,16,0.001,adam,0.001,5000,7500,520x520,0.4584912657737732,0.4766975939273834,0.8151666522026062,0.7973333597183228,80.66
Hyperparameter-Result67,b7,32,0.01,sgd,0.01,5000,7500,520x520,1.7506630420684814,1.7436764240264893,0.7254999876022339,0.722000002861023,82.67
Hyperparameter-Result26,b7,16,0.01,adam,0.1,5000,7500,520x520,0.6716569662094116,0.677531361579895,0.6039999723434448,0.5913333296775818,58.90
