Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Learning Rate,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken
Hyperparameter-Result58,b7,8,0.01,adam,0.01,5000,7500,520x520,0.6738561391830444,0.6771830916404724,0.5983333587646484,0.5893333554267883,45.09
Hyperparameter-Result36,b7,8,0.1,adam,0.1,5000,7500,520x520,0.6788833141326904,0.6809269785881042,0.6051666736602783,0.590666651725769,31.27
Hyperparameter-Result25,b7,16,0.001,sgd,0.1,5000,7500,520x520,0.4421933889389038,0.4912292957305908,0.8508333563804626,0.8140000104904175,80.81
Hyperparameter-Result52,b7,16,0.1,adam,0.01,5000,7500,520x520,0.6730737090110779,0.6802539229393005,0.6000000238418579,0.5820000171661377,59.10
Hyperparameter-Result61,b7,8,0.1,sgd,0.01,5000,7500,520x520,0.5922533869743347,0.6005567908287048,0.7275000214576721,0.7193333506584167,84.32
Hyperparameter-Result47,b7,32,N/A,sgd,0.1,5000,7500,520x520,0.38606715202331543,0.4282259941101074,0.8206666707992554,0.8086666464805603,81.85
Hyperparameter-Result24,b7,16,0.001,adam,0.1,5000,7500,520x520,0.671940267086029,0.6788659691810608,0.6035000085830688,0.5879999995231628,61.59
Hyperparameter-Result7,b7,16,N/A,sgd,0.001,5000,7500,520x520,0.6126049160957336,0.6273505091667175,0.6700000166893005,0.6473333239555359,81.13
Hyperparameter-Result30,b7,16,N/A,adam,0.1,5000,7500,520x520,0.6727089881896973,0.7233543992042542,0.6011666655540466,0.5886666774749756,48.33
Hyperparameter-Result63,b7,8,N/A,sgd,0.01,5000,7500,520x520,0.45735636353492737,0.4866677522659302,0.7914999723434448,0.7720000147819519,84.90
Hyperparameter-Result13,b7,8,0.1,sgd,0.001,5000,7500,520x520,2.00976824760437,2.0176897048950195,0.6769999861717224,0.6586666703224182,85.17
Hyperparameter-Result18,b7,32,0.01,adam,0.001,5000,7500,520x520,0.5565230846405029,0.5454691052436829,0.749666690826416,0.7553333044052124,82.40
Hyperparameter-Result64,b7,32,0.001,adam,0.01,5000,7500,520x520,0.5853032469749451,0.5565069317817688,0.671999990940094,0.7673333287239075,82.15
Hyperparameter-Result27,b7,16,0.01,sgd,0.1,5000,7500,520x520,0.5106050968170166,0.5231180787086487,0.778166651725769,0.7666666507720947,80.46
Hyperparameter-Result40,b7,32,0.001,adam,0.1,5000,7500,520x520,0.6738571524620056,0.6822527050971985,0.5993333458900452,0.578000009059906,46.71
Hyperparameter-Result32,b7,8,0.001,adam,0.1,5000,7500,520x520,0.6720502376556396,0.6832605600357056,0.6041666865348816,0.581333339214325,42.52
Hyperparameter-Result16,b7,32,0.001,adam,0.001,5000,7500,520x520,0.4550412893295288,0.475074827671051,0.8111666440963745,0.809333324432373,82.22
Hyperparameter-Result65,b7,32,0.001,sgd,0.01,5000,7500,520x520,0.779461681842804,0.774257481098175,0.7266666889190674,0.731333315372467,82.55
Hyperparameter-Result38,b7,8,N/A,adam,0.1,5000,7500,520x520,0.6707596182823181,0.6838859915733337,0.6058333516120911,0.5820000171661377,53.61
Hyperparameter-Result54,b7,16,N/A,adam,0.01,5000,7500,520x520,0.4039572775363922,0.43406563997268677,0.7888333201408386,0.7853333353996277,80.50
Hyperparameter-Result42,b7,32,0.01,adam,0.1,5000,7500,520x520,0.669884204864502,0.6860275864601135,0.6078333258628845,0.5686666369438171,62.27
Hyperparameter-Result9,b7,8,0.001,sgd,0.001,5000,7500,520x520,0.8195348381996155,0.8312979340553284,0.6993333101272583,0.6953333616256714,85.22
Hyperparameter-Result6,b7,16,N/A,adam,0.001,5000,7500,520x520,0.31421637535095215,0.40575656294822693,0.8643333315849304,0.8199999928474426,80.71
Hyperparameter-Result39,b7,8,N/A,sgd,0.1,5000,7500,520x520,0.30441415309906006,0.36012524366378784,0.8641666769981384,0.8386666774749756,84.87
Hyperparameter-Result34,b7,8,0.01,adam,0.1,5000,7500,520x520,0.6729527115821838,0.6848649978637695,0.6016666889190674,0.5726666450500488,50.87
Hyperparameter-Result17,b7,32,0.001,sgd,0.001,5000,7500,520x520,0.8820385932922363,0.882463812828064,0.6363333463668823,0.6326666474342346,82.64
Hyperparameter-Result44,b7,32,0.1,adam,0.1,5000,7500,520x520,0.6724964380264282,0.6769775748252869,0.6025000214576721,0.5920000076293945,35.80
Hyperparameter-Result20,b7,32,0.1,adam,0.001,5000,7500,520x520,0.6215285658836365,0.6249237656593323,0.6970000267028809,0.6866666674613953,81.86
Hyperparameter-Result70,b7,32,N/A,adam,0.01,5000,7500,520x520,0.39312800765037537,0.4059831500053406,0.7860000133514404,0.8026666641235352,82.13
Hyperparameter-Result57,b7,8,0.001,sgd,0.01,5000,7500,520x520,0.6458666324615479,0.678012490272522,0.7848333120346069,0.7753333449363708,84.96
Hyperparameter-Result14,b7,8,N/A,adam,0.001,5000,7500,520x520,0.3208244740962982,0.3846210241317749,0.8551666736602783,0.8220000267028809,84.73
Hyperparameter-Result41,b7,32,0.001,sgd,0.1,5000,7500,520x520,0.5264627933502197,0.574785053730011,0.827833354473114,0.7900000214576721,82.46
Hyperparameter-Result21,b7,32,0.1,sgd,0.001,5000,7500,520x520,12.522467613220215,12.500334739685059,0.640333354473114,0.640666663646698,82.73
Hyperparameter-Result8,b7,8,0.001,adam,0.001,5000,7500,520x520,0.4726846218109131,0.47705745697021484,0.8026666641235352,0.7953333258628845,84.67
Hyperparameter-Result56,b7,8,0.001,adam,0.01,5000,7500,520x520,0.6727808713912964,0.6826202273368835,0.6008333563804626,0.5759999752044678,45.09
Hyperparameter-Result55,b7,16,N/A,sgd,0.01,5000,7500,520x520,0.5124714970588684,0.5122210383415222,0.7440000176429749,0.7513333559036255,80.77
Hyperparameter-Result48,b7,16,0.001,adam,0.01,5000,7500,520x520,0.5927981734275818,0.5733864903450012,0.6636666655540466,0.753333330154419,80.33
Hyperparameter-Result23,b7,32,N/A,sgd,0.001,5000,7500,520x520,0.6364447474479675,0.6268764734268188,0.6501666903495789,0.6613333225250244,82.04
Hyperparameter-Result3,b7,16,0.01,sgd,0.001,5000,7500,520x520,2.726621627807617,2.7302377223968506,0.6754999756813049,0.6679999828338623,81.03
Hyperparameter-Result49,b7,16,0.001,sgd,0.01,5000,7500,520x520,0.7243283987045288,0.7339620590209961,0.7549999952316284,0.7419999837875366,80.56
Hyperparameter-Result2,b7,16,0.01,adam,0.001,5000,7500,520x520,0.5521671175956726,0.567414402961731,0.7478333115577698,0.7273333072662354,80.54
Hyperparameter-Result60,b7,8,0.1,adam,0.01,5000,7500,520x520,0.673594057559967,0.6751419901847839,0.5986666679382324,0.5946666598320007,81.38
Hyperparameter-Result59,b7,8,0.01,sgd,0.01,5000,7500,520x520,0.6537256240844727,0.6646206378936768,0.7756666541099548,0.765333354473114,85.21
Hyperparameter-Result43,b7,32,0.01,sgd,0.1,5000,7500,520x520,0.500864565372467,0.5363278388977051,0.7835000157356262,0.7706666588783264,81.10
Hyperparameter-Result51,b7,16,0.01,sgd,0.01,5000,7500,520x520,1.1118468046188354,1.1259987354278564,0.7616666555404663,0.7386666536331177,81.24
Hyperparameter-Result33,b7,8,0.001,sgd,0.1,5000,7500,520x520,0.40056920051574707,0.4738377332687378,0.856333315372467,0.8040000200271606,84.83
Hyperparameter-Result50,b7,16,0.01,adam,0.01,5000,7500,520x520,0.6716265082359314,0.6797938942909241,0.6036666631698608,0.5839999914169312,40.42
Hyperparameter-Result4,b7,16,0.1,adam,0.001,5000,7500,520x520,0.6283929347991943,0.6361474990844727,0.6800000071525574,0.6546666622161865,80.55
Hyperparameter-Result11,b7,8,0.01,sgd,0.001,5000,7500,520x520,2.4247162342071533,2.4324951171875,0.6938333511352539,0.6793333292007446,85.39
Hyperparameter-Result5,b7,16,0.1,sgd,0.001,5000,7500,520x520,6.448206901550293,6.431920051574707,0.6651666760444641,0.656000018119812,81.15
Hyperparameter-Result68,b7,32,0.1,adam,0.01,5000,7500,520x520,0.6718008518218994,0.6777071952819824,0.6031666398048401,0.5886666774749756,49.40
Hyperparameter-Result53,b7,16,0.1,sgd,0.01,5000,7500,520x520,0.5969172120094299,0.5999965071678162,0.718500018119812,0.7073333263397217,80.56
Hyperparameter-Result22,b7,32,N/A,adam,0.001,5000,7500,520x520,0.34212255477905273,0.42615607380867004,0.8518333435058594,0.8046666383743286,82.49
Hyperparameter-Result12,b7,8,0.1,adam,0.001,5000,7500,520x520,0.6327257752418518,0.6287411451339722,0.6676666736602783,0.6493333578109741,84.54
Hyperparameter-Result35,b7,8,0.01,sgd,0.1,5000,7500,520x520,0.5202831029891968,0.5578747391700745,0.7778333425521851,0.7566666603088379,84.42
Hyperparameter-Result46,b7,32,N/A,adam,0.1,5000,7500,520x520,0.6790138483047485,0.6777927875518799,0.6014999747276306,0.5893333554267883,38.43
