Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Learning Rate,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken
Hyperparameter-Result31,b0,16,N/A,sgd,0.1,5000,7500,N/A,0.34459662437438965,0.4281507134437561,0.8529999852180481,0.809333324432373,4.30
Hyperparameter-Result37,b0,8,0.1,sgd,0.1,5000,7500,N/A,0.6363499164581299,0.6412387490272522,0.6783333420753479,0.6466666460037231,7.67
Hyperparameter-Result29,b0,16,0.1,sgd,0.1,5000,7500,N/A,0.6184039115905762,0.6113948822021484,0.6921666860580444,0.7153333425521851,4.35
Hyperparameter-Result28,b0,16,0.1,adam,0.1,5000,7500,N/A,0.673769474029541,0.6802550554275513,0.6011666655540466,0.5853333473205566,1.86
Hyperparameter-Result71,b0,32,N/A,sgd,0.01,5000,7500,N/A,0.5587669014930725,0.5734531879425049,0.7160000205039978,0.7026666402816772,3.79
Hyperparameter-Result69,b0,32,0.1,sgd,0.01,5000,7500,N/A,0.6226078867912292,0.6362437605857849,0.7138333320617676,0.6973333358764648,3.97
Hyperparameter-Result66,b0,32,0.01,adam,0.01,5000,7500,N/A,0.6381646394729614,0.6345992684364319,0.6035000085830688,0.5733333230018616,3.91
Hyperparameter-Result15,b0,8,N/A,sgd,0.001,5000,7500,N/A,0.6067491173744202,0.6045055389404297,0.6825000047683716,0.6679999828338623,7.59
Hyperparameter-Result45,b0,32,0.1,sgd,0.1,5000,7500,N/A,0.6053211092948914,0.6094223260879517,0.7096666693687439,0.6959999799728394,3.79
Hyperparameter-Result1,b0,16,0.001,sgd,0.001,5000,7500,N/A,0.8484225869178772,0.8547545671463013,0.6601666808128357,0.6393333077430725,4.51
Hyperparameter-Result19,b0,32,0.01,sgd,0.001,5000,7500,N/A,2.8119421005249023,2.8119120597839355,0.6273333430290222,0.6259999871253967,3.93
Hyperparameter-Result10,b0,8,0.01,adam,0.001,5000,7500,N/A,0.5397459268569946,0.5510306358337402,0.7475000023841858,0.7546666860580444,7.73
Hyperparameter-Result62,b0,8,N/A,adam,0.01,5000,7500,N/A,0.44332975149154663,0.50057452917099,0.7613333463668823,0.7733333110809326,7.13
Hyperparameter-Result0,b0,16,0.001,adam,0.001,5000,7500,N/A,0.42543888092041016,0.4783409833908081,0.8376666903495789,0.8053333163261414,4.53
