Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Learning Rate,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken
Hyperparameter-Result31,b4,32,0.01,sgd,0.1,5000,7500,320x320,0.5004298686981201,0.5324480533599854,0.7990000247955322,0.7773333191871643,13.56
Hyperparameter-Result37,b4,16,0.01,sgd,0.01,5000,7500,320x320,1.1257383823394775,1.1263682842254639,0.7360000014305115,0.7319999933242798,14.42
Hyperparameter-Result29,b4,8,N/A,sgd,0.1,5000,7500,320x320,0.3130929172039032,0.4170787036418915,0.8641666769981384,0.8100000023841858,18.01
Hyperparameter-Result28,b4,8,N/A,adam,0.1,5000,7500,320x320,0.6742188930511475,0.7305516600608826,0.6058333516120911,0.5846666693687439,13.71
Hyperparameter-Result15,b4,32,0.1,sgd,0.001,5000,7500,320x320,12.284100532531738,12.270307540893555,0.6290000081062317,0.6039999723434448,13.76
Hyperparameter-Result45,b4,8,0.1,sgd,0.01,5000,7500,320x320,0.6024787425994873,0.6069285273551941,0.7038333415985107,0.7046666741371155,18.04
Hyperparameter-Result1,b4,16,0.01,sgd,0.001,5000,7500,320x320,2.6923015117645264,2.700411558151245,0.652999997138977,0.6399999856948853,14.56
Hyperparameter-Result19,b4,16,0.01,sgd,0.1,5000,7500,320x320,0.5153313279151917,0.5536184310913086,0.7900000214576721,0.7586666941642761,14.36
Hyperparameter-Result10,b4,8,N/A,adam,0.001,5000,7500,320x320,0.30931079387664795,0.39036503434181213,0.8673333525657654,0.8146666884422302,18.17
Hyperparameter-Result0,b4,16,0.01,adam,0.001,5000,7500,320x320,0.5590441226959229,0.5714894533157349,0.7456666827201843,0.7239999771118164,14.30
Hyperparameter-Result26,b4,8,0.1,adam,0.1,5000,7500,320x320,0.6725928783416748,0.6781749129295349,0.6010000109672546,0.5866666436195374,17.97
Hyperparameter-Result36,b4,16,0.01,adam,0.01,5000,7500,320x320,0.6725538372993469,0.6749414801597595,0.6013333201408386,0.5953333377838135,7.73
Hyperparameter-Result25,b4,8,0.01,sgd,0.1,5000,7500,320x320,0.5258681774139404,0.5554640889167786,0.7748333215713501,0.7633333206176758,18.09
Hyperparameter-Result52,b4,32,N/A,adam,0.01,5000,7500,320x320,0.37574902176856995,0.4517267644405365,0.8050000071525574,0.7919999957084656,13.48
Hyperparameter-Result47,b4,8,N/A,sgd,0.01,5000,7500,320x320,0.46047285199165344,0.48764508962631226,0.7916666865348816,0.7666666507720947,18.02
Hyperparameter-Result24,b4,8,0.01,adam,0.1,5000,7500,320x320,0.6725926399230957,0.6769350171089172,0.6023333072662354,0.5899999737739563,13.85
Hyperparameter-Result7,b4,8,0.01,sgd,0.001,5000,7500,320x320,2.400787830352783,2.3958966732025146,0.6644999980926514,0.6733333468437195,18.36
Hyperparameter-Result30,b4,32,0.01,adam,0.1,5000,7500,320x320,0.6735644340515137,0.6759814620018005,0.5989999771118164,0.5926666855812073,12.82
Hyperparameter-Result13,b4,32,0.01,sgd,0.001,5000,7500,320x320,2.871443271636963,2.877774715423584,0.6328333616256714,0.6140000224113464,13.80
Hyperparameter-Result18,b4,16,0.01,adam,0.1,5000,7500,320x320,0.6704999208450317,0.6785407066345215,0.6068333387374878,0.5886666774749756,12.67
Hyperparameter-Result27,b4,8,0.1,sgd,0.1,5000,7500,320x320,0.6286843419075012,0.6404996514320374,0.6783333420753479,0.6600000262260437,18.05
Hyperparameter-Result40,b4,16,N/A,adam,0.01,5000,7500,320x320,0.4492568373680115,0.471038818359375,0.7523333430290222,0.765333354473114,14.18
Hyperparameter-Result32,b4,32,0.1,adam,0.1,5000,7500,320x320,0.6720579266548157,0.6787071228027344,0.6031666398048401,0.5853333473205566,8.96
Hyperparameter-Result16,b4,32,N/A,adam,0.001,5000,7500,320x320,0.34305188059806824,0.4275704622268677,0.8493333458900452,0.7926666736602783,13.55
Hyperparameter-Result38,b4,16,0.1,adam,0.01,5000,7500,320x320,0.673197329044342,0.6746232509613037,0.5996666550636292,0.5960000157356262,11.01
Hyperparameter-Result42,b4,8,0.01,adam,0.01,5000,7500,320x320,0.6722362637519836,0.6771959662437439,0.6019999980926514,0.5899999737739563,16.10
Hyperparameter-Result9,b4,8,0.1,sgd,0.001,5000,7500,320x320,1.9776151180267334,1.983919382095337,0.6796666383743286,0.6673333048820496,18.39
Hyperparameter-Result6,b4,8,0.01,adam,0.001,5000,7500,320x320,0.5726534724235535,0.5800273418426514,0.7170000076293945,0.7046666741371155,17.94
Hyperparameter-Result39,b4,16,0.1,sgd,0.01,5000,7500,320x320,0.6053968071937561,0.6161131262779236,0.7036666870117188,0.7253333330154419,14.33
Hyperparameter-Result34,b4,32,N/A,adam,0.1,5000,7500,320x320,0.6699243187904358,0.6813081502914429,0.606333315372467,0.5786666870117188,11.61
Hyperparameter-Result17,b4,32,N/A,sgd,0.001,5000,7500,320x320,0.6446418762207031,0.6336585879325867,0.6330000162124634,0.6439999938011169,13.75
