Log_file,Efficientnet,Batch Size,Reg. Lambda,Optimizer,Learning Rate,Data Size,Data Size after augmentation,Resize,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time Taken
Hyperparameter-Result16,b5,32,0.001,adam,0.001,5000,7500,320x320,0.42493748664855957,0.5288186073303223,0.8493333458900452,0.7866666913032532,18.43
Hyperparameter-Result65,b5,32,0.001,sgd,0.01,5000,7500,320x320,0.7907851338386536,0.8020327687263489,0.7083333134651184,0.7026666402816772,18.80
Hyperparameter-Result38,b5,8,N/A,adam,0.1,5000,7500,320x320,0.7098758816719055,0.6780958771705627,0.6023333072662354,0.5860000252723694,19.40
Hyperparameter-Result54,b5,16,N/A,adam,0.01,5000,7500,320x320,0.3894653618335724,0.4699762761592865,0.796833336353302,0.8053333163261414,19.02
Hyperparameter-Result42,b5,32,0.01,adam,0.1,5000,7500,320x320,0.6677330136299133,0.6872909069061279,0.6129999756813049,0.5706666707992554,9.92
Hyperparameter-Result9,b5,8,0.001,sgd,0.001,5000,7500,320x320,0.8447007536888123,0.8466687202453613,0.6710000038146973,0.6600000262260437,23.93
Hyperparameter-Result6,b5,16,N/A,adam,0.001,5000,7500,320x320,0.2794775068759918,0.42696070671081543,0.8791666626930237,0.8153333067893982,19.13
Hyperparameter-Result39,b5,8,N/A,sgd,0.1,5000,7500,320x320,0.28442785143852234,0.4207932651042938,0.8820000290870667,0.8226666450500488,23.51
Hyperparameter-Result34,b5,8,0.01,adam,0.1,5000,7500,320x320,0.668984055519104,0.6907873749732971,0.6136666536331177,0.5699999928474426,8.75
Hyperparameter-Result17,b5,32,0.001,sgd,0.001,5000,7500,320x320,0.8844470977783203,0.8863016963005066,0.624833345413208,0.6106666922569275,18.78
Hyperparameter-Result44,b5,32,0.1,adam,0.1,5000,7500,320x320,0.6718192100524902,0.6823215484619141,0.6043333411216736,0.5766666531562805,10.48
Hyperparameter-Result20,b5,32,0.1,adam,0.001,5000,7500,320x320,0.6167097687721252,0.6386981010437012,0.6934999823570251,0.6633333563804626,18.42
Hyperparameter-Result70,b5,32,N/A,adam,0.01,5000,7500,320x320,0.36663007736206055,0.46726176142692566,0.8233333230018616,0.8059999942779541,18.47
Hyperparameter-Result57,b5,8,0.001,sgd,0.01,5000,7500,320x320,0.6538988947868347,0.6768366694450378,0.7793333530426025,0.7753333449363708,23.86
Hyperparameter-Result14,b5,8,N/A,adam,0.001,5000,7500,320x320,0.28068724274635315,0.39732906222343445,0.8821666836738586,0.8353333473205566,23.27
Hyperparameter-Result41,b5,32,0.001,sgd,0.1,5000,7500,320x320,0.5199165940284729,0.5774236917495728,0.8360000252723694,0.8033333420753479,18.60
Hyperparameter-Result21,b5,32,0.1,sgd,0.001,5000,7500,320x320,12.367618560791016,12.350529670715332,0.6128333210945129,0.6000000238418579,18.73
Hyperparameter-Result8,b5,8,0.001,adam,0.001,5000,7500,320x320,0.4304733872413635,0.5091776251792908,0.8371666669845581,0.7793333530426025,23.60
Hyperparameter-Result56,b5,8,0.001,adam,0.01,5000,7500,320x320,0.6206058859825134,0.5898225903511047,0.6043333411216736,0.590666651725769,23.53
Hyperparameter-Result55,b5,16,N/A,sgd,0.01,5000,7500,320x320,0.5163127779960632,0.5380580425262451,0.7490000128746033,0.734666645526886,19.53
Hyperparameter-Result48,b5,16,0.001,adam,0.01,5000,7500,320x320,0.5581178069114685,0.5366180539131165,0.6893333196640015,0.7379999756813049,19.22
Hyperparameter-Result23,b5,32,N/A,sgd,0.001,5000,7500,320x320,0.6436297297477722,0.6472951173782349,0.6278333067893982,0.6013333201408386,18.69
Hyperparameter-Result3,b5,16,0.01,sgd,0.001,5000,7500,320x320,2.7173914909362793,2.718230724334717,0.6458333134651184,0.640666663646698,19.48
Hyperparameter-Result49,b5,16,0.001,sgd,0.01,5000,7500,320x320,0.7323002219200134,0.7463617324829102,0.7419999837875366,0.7319999933242798,19.27
Hyperparameter-Result2,b5,16,0.01,adam,0.001,5000,7500,320x320,0.5507673025131226,0.5812699198722839,0.753166675567627,0.7273333072662354,19.18
Hyperparameter-Result60,b5,8,0.1,adam,0.01,5000,7500,320x320,0.6717808246612549,0.682224690914154,0.6033333539962769,0.5793333053588867,11.11
Hyperparameter-Result59,b5,8,0.01,sgd,0.01,5000,7500,320x320,0.6458608508110046,0.6846240758895874,0.7850000262260437,0.7513333559036255,23.82
Hyperparameter-Result43,b5,32,0.01,sgd,0.1,5000,7500,320x320,0.4948066473007202,0.5183846354484558,0.79666668176651,0.7973333597183228,18.42
Hyperparameter-Result51,b5,16,0.01,sgd,0.01,5000,7500,320x320,1.1227864027023315,1.1248269081115723,0.7400000095367432,0.7400000095367432,19.50
Hyperparameter-Result33,b5,8,0.001,sgd,0.1,5000,7500,320x320,0.3713194727897644,0.45416975021362305,0.875,0.8306666612625122,23.48
Hyperparameter-Result50,b5,16,0.01,adam,0.01,5000,7500,320x320,0.6712978482246399,0.6822518110275269,0.6044999957084656,0.5786666870117188,7.82
Hyperparameter-Result4,b5,16,0.1,adam,0.001,5000,7500,320x320,0.6273021101951599,0.6336437463760376,0.6729999780654907,0.6506666541099548,19.07
Hyperparameter-Result11,b5,8,0.01,sgd,0.001,5000,7500,320x320,2.4164862632751465,2.4193410873413086,0.6656666398048401,0.668666660785675,23.84
Hyperparameter-Result5,b5,16,0.1,sgd,0.001,5000,7500,320x320,6.377818584442139,6.359963417053223,0.637666642665863,0.6346666812896729,19.47
Hyperparameter-Result68,b5,32,0.1,adam,0.01,5000,7500,320x320,0.669626772403717,0.6806373000144958,0.6081666946411133,0.5826666951179504,11.88
Hyperparameter-Result53,b5,16,0.1,sgd,0.01,5000,7500,320x320,0.6085310578346252,0.6188732385635376,0.7005000114440918,0.687333345413208,19.28
Hyperparameter-Result22,b5,32,N/A,adam,0.001,5000,7500,320x320,0.3058226406574249,0.39086535573005676,0.8709999918937683,0.8253333568572998,18.59
Hyperparameter-Result12,b5,8,0.1,adam,0.001,5000,7500,320x320,0.6326742172241211,0.6435361504554749,0.6654999852180481,0.6233333349227905,23.35
Hyperparameter-Result35,b5,8,0.01,sgd,0.1,5000,7500,320x320,0.530711829662323,0.5437145829200745,0.7728333473205566,0.7733333110809326,23.53
Hyperparameter-Result46,b5,32,N/A,adam,0.1,5000,7500,320x320,0.6223394870758057,0.6210787892341614,0.6660000085830688,0.6660000085830688,18.06
